dataid,active_record,building_type,city,state,egauge_1min_min_time,egauge_1min_max_time,egauge_1min_data_availability,,egauge_1s_max_time,egauge_1s_data_availability,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,wellpump1,water_ert_min_time,water_ert_max_time,water_data_availability,gas_ert_min_time,gas_ert_max_time,gas_data_availability,indoor_temp_min_time,indoor_temp_max_time,indoor_temp_data_availability,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,number_of_nests,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,survey_2017,survey_2019,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,program_shines
7800,yes,Single-Family Home 001 (Master),Austin,Texas,2012-09-01 19:00:00-05:00,2021-01-31 02:59:00-06:00,0.87,,2021-01-31 02:00:00-06:00,98%,yes,,,,,,,yes,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,yes,,,,,,,,,,,yes,yes,yes,,,,,,yes,,,,yes,,,,,,,,yes,,,,,yes,,,,,yes,,,,,2015-08-21 09:15:41.946681-05:00,2018-02-20 23:55:00-06:00,92%,2012-04-11 18:57:34-05:00,2013-05-10 16:26:46-05:00,99%,2019-12-02 15:04:00-06:00,2021-01-31 05:01:00-06:00,94%,11/22/2011,,2008,2075,2075,,,,,yes,South,5.145,5.145,0,,,,,yes,yes,yes,yes,,,,,yes,,,CCET - Pricing Trial,,
7741,yes,Town Home,Austin,Texas,2012-05-02 19:00:00-05:00,2021-01-31 02:59:00-06:00,0.96,,2021-01-31 02:00:00-06:00,91%,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,2012-10-02 08:08:36-05:00,2020-10-08 18:30:06.999126-05:00,84%,,,,11/22/2011,,2008,1842,1379,463,0,0,0,yes,South,6.125,6.125,0,,,,,,yes,yes,,yes,,,,yes,,,CCET - Control,,
5412,yes,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
6072,,Single-Family Home 001 (Master),Austin,Texas,2012-09-20 19:00:00-05:00,2015-09-12 05:34:00-05:00,1.00,,,,yes,,,,,,,yes,,,,,,yes,,,,,,,yes,,yes,,,yes,,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,8/15/2012,9/16/2015,1953,1636,,,,,,,,,,,,,,,,yes,yes,,,,,,yes,,,CCET - Pricing Trial,,
160,,Single-Family Home 001 (Master),Austin,Texas,2013-02-15 18:00:00-06:00,2016-02-12 03:57:00-06:00,1.00,,,,yes,,,,,yes,,,,,,,,,,,,yes,,,,,,,,yes,,,,yes,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,yes,,,,,,,,,,8/21/2012,2/12/2016,1948,1018,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,CCET - Control,,
9578,,Single-Family Home 001 (Master),Austin,Texas,2013-10-01 19:00:00-05:00,2015-05-29 02:59:00-05:00,1.00,,,,yes,,,,,,,yes,yes,,,,,,,,yes,,,,,,yes,,,yes,,,,yes,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/21/2012,11/14/2018,1972,1656,1656,0,0,0,0,,,,,,,,,,,yes,yes,yes,,,,,yes,,,,,
7739,yes,Single-Family Home 001 (Master),Austin,Texas,2012-05-02 19:00:00-05:00,2021-01-31 02:59:00-06:00,1.00,,2021-01-31 02:00:00-06:00,100%,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,2012-04-11 18:59:59-05:00,2020-01-02 20:51:28.902847-06:00,61%,,,,11/22/2011,,2008,1439,1439,0,0,0,,yes,South,5,5,0,,,,,,,,,,,,,yes,,,CCET - Text Message,,
7627,yes,Single-Family Home 001 (Master),Austin,Texas,2012-05-02 19:00:00-05:00,2021-01-31 02:59:00-06:00,1.00,,2021-01-31 02:00:00-06:00,100%,yes,,,,,yes,,,,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,yes,yes,,,,,yes,,,,,yes,,,,,,,,2012-04-12 18:16:01-05:00,2015-10-14 04:28:19-05:00,36%,2019-12-04 07:04:00-06:00,2020-02-04 16:16:00-06:00,71%,11/22/2011,,2008,2669,1455,1214,0,0,0,yes,South;West,5.712,2.856,2.856,0,2,,,yes,,,yes,,,,,yes,yes,,,,
2769,,Single-Family Home 001 (Master),Austin,Texas,2013-01-12 18:00:00-06:00,2016-05-17 03:33:00-05:00,0.99,,,,yes,,,,,,,,,,,,,yes,,,yes,,,,yes,,yes,,,yes,,,,yes,,,,,,,yes,,yes,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,8/28/2012,6/17/2016,1946,1505,1505,0,0,0,0,,,,,,,1,,yes,,yes,,yes,,,,,yes,,,,,
434,,Single-Family Home 001 (Master),Austin,Texas,2013-02-25 15:01:00-06:00,2018-10-11 04:59:00-05:00,0.99,,,,yes,,,,,,,yes,,,,,,,,,,,,,yes,,yes,,,yes,,,,yes,,,,,,,,,yes,,,,,,,,,,yes,yes,,,,,,,,,,,yes,,,,,yes,,,,,,yes,,,,,,,,,,,,,8/28/2012,10/31/2018,2007,2158,1189,969,,,,yes,South,,,,,,,,,,,yes,,,,,yes,,,CCET - UT Text,,
